"What medical services are available for pregnant women?","Pregnant women have access to primary medical assistance including consultations for monitoring the progress of pregnancy and labor. This includes supervision in the first quarter, monthly monitoring from the 3rd to 7th month, twice a month monitoring from the 7th to 9th month, and monitoring at home upon leaving the maternity ward. Additional services include promoting exclusive breastfeeding, testing for HIV and hepatitis, and other necessary tests. The basic package also includes supervision of labor and unexpected birth by the family doctor. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.","","English","Yes","Scraped"
"How are medical services for pregnant women managed?","Medical services for pregnant women are managed through primary medical assistance, which includes regular consultations to monitor the evolution of pregnancy and labor. This includes supervision in the first quarter, monthly monitoring from the 3rd to 7th month, twice a month monitoring from the 7th to 9th month, and monitoring at home after leaving the maternity ward and 4 weeks after birth. Additionally, services such as promoting exclusive breastfeeding, testing for HIV and hepatitis, and other necessary investigations are provided. Family doctors also offer additional support for labor supervision and unexpected births. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.","","English","Yes","Scraped"
"What levels are medical services for pregnant women managed on?","Medical services for pregnant women are managed on primary medical assistance levels, which include consultations for monitoring the evolution of pregnancy and labor at various intervals throughout the pregnancy, as well as services such as supervision of labor without giving birth and unexpected birth. Additionally, services promoting exclusive breastfeeding of the child, testing for HIV and hepatitis, and other necessary investigations are recommended for pregnant women. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.","","English","Yes","Scraped"
"Who oversees the medical services provided to pregnant women?","The medical services provided to pregnant women are overseen by primary medical assistance, which includes consultations for monitoring the evolution of pregnancy and labor at different intervals throughout the pregnancy and postpartum period. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.","","English","Yes","Scraped"
"Are there different types of medical care available for pregnant women?","Yes, there are different types of medical care available for pregnant women, including primary medical assistance, consultations for monitoring the evolution of pregnancy and labor, testing for HIV and hepatitis, promotion of exclusive breastfeeding, and two diagnostic and therapeutic medical services for labor supervision and unexpected birth. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.","","English","Yes","Scraped"
"What kind of support do pregnant women receive during their prenatal care?","Pregnant women receive primary medical assistance and regular consultations to monitor the evolution of their pregnancy and labor. This includes supervision in the first quarter, monthly monitoring from the 3rd to 7th month, twice monthly monitoring from the 7th to 9th month, and monitoring at home after leaving the maternity ward. The support also includes promoting exclusive breastfeeding until 6 months and continuing until at least 12 months, testing for HIV, hepatitis, and other necessary investigations. Additionally, services such as supervision of labor without giving birth and unexpected birth are included to ensure better access to medical care. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.","","English","Yes","Scraped"
"Are there specialized medical services for high-risk pregnancies?","Yes, there are specialized medical services for high-risk pregnancies, including consultations for monitoring the evolution of pregnancy and labor, supervision of the pregnant woman, testing for HIV and viral hepatitis, and other necessary paraclinical investigations. Additionally, there are services to support pregnant women such as supervision of labor without giving birth and unexpected birth, which can be provided by the family doctor. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.","","English","Yes","Scraped"
"How are medical services for pregnant women coordinated between different healthcare providers?","Medical services for pregnant women are coordinated between different healthcare providers through primary medical assistance, including consultations for monitoring the evolution of pregnancy and labor. This includes supervision throughout the pregnancy, monitoring at regular intervals, promotion of exclusive breastfeeding, testing for HIV and viral hepatitis, and other necessary investigations. Additionally, services such as supervision of labor without giving birth and unexpected birth can also be provided by the family doctor to support pregnant women and ensure better access to medical care. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.","","English","Yes","Scraped"
"What role do obstetricians play in managing medical services for pregnant women?","Obstetricians play a crucial role in managing medical services for pregnant women by providing primary medical assistance, monitoring the evolution of pregnancy and labor, promoting exclusive breastfeeding, conducting necessary screenings for infections, and ensuring access to diagnostic and therapeutic services such as supervision of labor and unexpected births. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.","","English","Yes","Scraped"
"What resources are available for pregnant women in need of medical assistance?","Pregnant women in need of medical assistance have access to primary medical assistance which includes consultations, monitoring of pregnancy and labor, supervision of breastfeeding, testing for HIV and viral hepatitis, and other necessary paraclinical investigations. Additionally, pregnant women are provided with two diagnostic and therapeutic medical services: supervision of labor without giving birth, and unexpected birth. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.","","English","Yes","Scraped"
